PROCEDURECODE,PROCEDURECODEDESCRIPTION,NDC
3075F,SYSTOLIC BP 130-139,
J7620,ALBUTEROL BROMIDE COMPOUND UP TO 2.5 MG,487020101
3046F,A1C LEVEL > 9.0%,
"99214,25",OFFICE OUTPT EST LEVEL 4 MOD 25,
"87634,QW",RSV,
3077F,SYSTOLIC BP >= 140,
J0696,ROCEPHIN 250MG,409733201
99497,ADVANCE CARE PLANNING FIRST 30 MIN,
SPNEW99203,SELF PAY NEW LEVEL 3,
1158F,ACP DISCUSSION DOCUMENTED IN RECORD,
G0403,EKG ROUTINE WITH IPPE,
G0009,ADMIN PNEUMONIA,
99443,PHYSICIAN TELEPHONE EVALUATION 21-30 MIN,
"99205,25",OFFICE OUTPT NEW LEVEL 5 MOD 25,
3044F,HBA1C LEVEL <7.0,
3080F,DIASTOLIC >90,
99397,PREVENT EST AGE 65 AND UP,
SPEST99213,SELF PAY EST OFFICE OUTPT LEVEL 3,
90471,ADMIN VACCINE INITIAL,
99441,PHYSICIAN TELEPHONE EVALUATION 5-10 MIN,
87641,MRSA,
91320,PFIZER COVID MONOVALENT MRNA,69237710
J7611,ALBUTEROL NON-COMPOUNDED CONCENTRATED,487990130
"87633,QW",RESPIRATORY VIRUS PANEL 12-25 TARGETS,
G0439,MC ANNUAL WELL VISIT SUBQ,
99395,PREVENT EST AGE 18 TO 39,
99203,OFFICE OUTPT NEW LEVEL 3,
99386,PREVENT NEW AGE 40 TO 64,
G0447,OBESITY COUNSELING 15 MIN,
J1100,DECADRON PHOS 1MG,50090192200
87640,STAPHYLOCOCCUS AUREUS,
99396,PREVENT EST AGE 40 TO 64,
"99204,25",OFFICE OUTPT NEW LEVEL 4 MOD 25,
99213,OFFICE OUTPT EST LEVEL 3,
99205,OFFICE OUTPT NEW LEVEL 5,
3052F,A1C LEVEL 8.0 TO 9.0,
"99213,25",OFFICE OUTPT EST LEVEL 3 MOD 25,
G0008,ADMIN FLU,
MISCFORM,FORM FEE,
"99215,25",OFFICE OUTPT EST LEVEL 5 MOD 25,
99214,OFFICE OUTPT EST LEVEL 4,
J0561,PENICILLIN BENZ 100000 UNITS,60793070010
93306,ECHO OFFICE COMPLETE,
"87631,QW",RESPIRATORY VIRUS 3-5 TARGETS,
90480,COVID VACCINE ADMINISTRATION,
G8417,BMI ABNORMAL UPPER FU PLAN DOCUMENTED,
87631,RESPIRATORY VIRUS 3-5 TARGETS,
94640,INHALATION TRTMNT FOR ACUTE AIRWAY OBSTR,
3051F,A1C LEVEL 7.0 TO 7.9,
87636,"INFLUENZA AND COVID SCREENING, NON RAPID",
G0442,ALCOHOL MISUSE SCREENING 15 MIN,
3078F,DIASTOLIC BP <80,
3079F,DIASTOLIC BP 80-89,
90677,PREVNAR 20 VACCINE,5200010
99496,TRANSITIONAL CARE HIGH,
87634,RSV,
J0897,PROLIA 1MG,55513071001
93000,EKG,
SPEST99214,SELF PAY EP OFFICE OUTPT LEVEL 4,
99215,OFFICE OUTPT EST LEVEL 5,
SPNEW99205,SELF PAY NEW LEVEL 5,
3074F,SYSTOLIC BP < 130,
90694,FLUAD HIGH DOSE QUAD ADJUVANTED 2020,70461012303
99442,PHYSICIAN TELEPHONE EVALUATION 11-20 MIN,
SPEST99215,SELF PAY EP OFFICE OUTPT LEVEL 5,
G0438,MC 1ST ANNUAL WELL VISIT,
J1885,TORADOL PER 15 MG,409379301
99385,PREVENT NEW AGE 18 TO 39,
SPNEW99204,SELF PAY NEW LEVEL 4,
87633,RESPIRATORY VIRUS PANEL 12-25 TARGETS,
90750,SHINGRIX 0.5 ML,
99204,OFFICE OUTPT NEW LEVEL 4,
"99203,25",OFFICE OUTPT NEW LEVEL 3 MOD 25,
G0180,HOME HEALTH INITIAL CERT,
96372,ADMIN INJECTION THERAPEUTIC SUB-Q,
G8418,BMI ABNORMAL LOWER FU PLAN DOCUMENTED,
VOIDCHARGE,VOID CHARGE,
G8420,BMI NORMAL,
81001,URINALYSIS,
90674,FLUCELVAX QUAD 2020,70461032303
99495,TRANSITIONAL CARE MODERAT,
36415,VENIPUNCTURE,
99406,SMOKING COUNSEL 3-10 MINS,
G0444,DEPRESSION SCREENING 15 MIN ANNUAL,
G0506,COMPREHENSIVE ASSESSMENT AND CARE PLANNING REQUIRING CCM SERVICES,
99408,ALCOHOL AND SUBSTANCE ABUSE COUNSELING VISIT,
99491,CHRNC CARE MGMT PROVIDER 1ST 30 MIN,
99212,OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT AT LEAST 10 MINUTES,
99489,COMPLEX CHRNC CARE MGMT STAFF EA ADD 30 MIN,
96127,BRIEF EMOTIONAL/BEHAVIORAL ASSESSMENT,
99387,NEW PT PREVENT EST AGE 65 AND UP,
99487,COMPLEX CHRNC CARE MGMT STAFF 1ST 60 MIN,
99490,CHRNC CARE MGMT STAFF 1ST 20 MIN,
11719,"NAIL TRIMMING- NON- DYSTROPHIC, ANY NUMBER OF NAIL",
99439,CHRNC CARE MGMT STAF EA ADD 20 MIN,
G0127,"NAIL TRIMMING- DYSTROPHIC, ANY NUMBER OF NAIL",
99437,CHRNC CARE MGMT PROVIDER EA ADD 30 MIN,
"99497,33",ADVANCED CARE PLANNING 30 MIN,
G0179,HOME HEALTH RECERTIFICATION,
G0181,PHYSICIAN CARE PLAN OVERSIGHT,
64615,CHEMODENERV MUSC MIGRAINE,
1125F,PAIN SEVERITY QUANTIFIED; PAIN PRESENT,
69210,CERUMEN REMOVAL,
1170F,FUNCTIONAL STATUS ASSESSED,
3288F,FALLS RISK ASSESSMENT DOCUMENTED,
G8510,"DEPRESSION SCREENING NEGATIVE, NO FOLLOW-UP REQUIRED",
G8431,"DEPRESSION SCREENING POSITIVE, FOLLOW-UP PLAN OF CARE DOCUMENTED",
1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT,
1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD,
G0558,ADV PRIMARY CARE MANAGEMENT LEVEL 3,
G0443,"BRIEF F2F BEHAVIORAL COUNSELING FOR ALCOHOL MISUSE, 15 MINUTES",
G0557,ADV PRIMARY CARE MANAGEMENT LEVEL 2,
G0556,ADV PRIMARY CARE MANAGEMENT LEVEL 1,
MEDDIRGRANDVIEW,NO FEE VISIT BY MEDICAL DIRECTOR AT GRANDVIEW,
MEDDIRMADISON,NO FEE VISIT BY MEDICAL DIRECTOR AT MADISON MONARK GROVE,
MEDDIRMERRILLGARD,NO FEE VISIT BY MEDICAL DIRECTOR AT MERRILL GARDENS,
MEDDIRBROOKDALE,NO FEE VISIT BY MEDICAL DIRECTOR AT BROOKDALE,
MEDDIRNORTHRIVER,NO FEE VISIT BY MEDICAL DIRECTOR AT THE CROSSINGS AT NORTH RIVER,
MEDDIRRIVERCHASE,NO FEE VISIT BY MEDICAL DIRECTOR AT THE CROSSINGS AT RIVERCHASE,
MEDDIRGRAYSONVALL,NO FEE VISIT BY MEDICAL DIRECTOR AT GRAYSON VALLEY,
MEDDIRLAKEVIEW,NO FEE VIST BY MEDICAL DIRECTOR LAKEVIEW,
G2211,VISIT COMPLEXITY ADD ON CODE,
MEDDIRTRUEWOOD,NO FEE VISIT BY MEDICAL DIRECTOR AT TRUEWOOD AT MERRILL,
MEDDIRSOMERBY,NO FEE VISIT BY MEDICAL DIRECTOR AT SOMERBY,
MEDDIRGREYSTONE,NO FEE VISIT BY MEDICAL DIRECTOR AT GREYSTONE MONARK GROVE,
99345,HOME/RES VST NEW HIGH MDM 75,
99341,"NEW PT STRAIGHTFORWARD VISIT, 15 MINUTES",
99350,ESTABLISHED PATIENT HOME/RES VST HIGH MDM 60,
99347,ESTABLISHED PATIENT HOME/RES STRAIGHTFORWARD 20 MINUTES,
99342,"NEW PT LOW LEVEL MDM OR AT LEAST 30 MINUTES TOTAL TIME,",
SPEST,SELF PAY FOLLOW UP VISIT,
99344,NEW PT MODERATE LEVEL MDM OR AT LEAST 60 MINUTES TOTAL TIME,
99348,ESTABLISHED PATIENT HOME/RES LOW MDM 30 MINUTES,
SPNEW,SELF PAY NEW PATIENT -,
99349,ESTABLISHED PATIENT HOME/RES VST MODERATE MDM 40,
99375,CARE PLAN OVERSIGHT >30MIN,
99374,CARE PLAN OVERSIGHT <30MIN,
99202,OFFICE OUTPT NEW LEVEL 2,
97602,REMOVAL OF DEVITALIZED TISSUE FROM WOUND,
99483,MINI COGNITIVE ASSESSMENT,
MISCMR,MEDICAL RECORD HARD COPY,
MISCNS,NO SHOW,
MISCNSF,INSUFFICIENT FUNDS,
