CVX_CODE,SHORT_DESCRIPTION,FULL_VACCINE_NAME,VACCINE_GROUP,ROUTE,DOSE_SERIES,ADULT_SCHEDULE,CPT_CODE,NDC_EXAMPLES,STATUS,NOTES
141,Influenza seasonal injectable,Influenza seasonal injectable preservative free,Influenza,IM,Annual,Every fall (Sep-Mar),90686,Various,Active,"Standard dose, age 18-64"
197,Influenza high-dose quadrivalent,Influenza high-dose seasonal quadrivalent preservative free,Influenza,IM,Annual,Every fall (Sep-Mar) age 65+,90662,Various,Active,"High-dose for age 65+, 4x antigen"
185,Influenza recombinant quadrivalent,Influenza seasonal recombinant quadrivalent injectable preservative free,Influenza,IM,Annual,Every fall (Sep-Mar),90682,Various,Active,"Flublok, egg-free option"
140,Influenza seasonal intranasal,Influenza seasonal live attenuated for intranasal use,Influenza,Nasal,Annual,Every fall (Sep-Mar) age 2-49,90672,Various,Active,"FluMist, avoid if immunocompromised"
33,Pneumococcal polysaccharide PPV23,Pneumococcal polysaccharide vaccine 23 valent,Pneumococcal,IM/SQ,1-2 doses,Age 65+ or high-risk,90732,00006-4943-00,Active,"Pneumovax 23, revaccinate once after 5 years if given before 65"
215,Pneumococcal conjugate PCV20,Pneumococcal conjugate vaccine 20 valent,Pneumococcal,IM,1 dose,Age 65+ or high-risk adults 19-64,90677,00005-1971-02,Active,"Prevnar 20, preferred single-dose option per ACIP 2023"
216,Pneumococcal conjugate PCV21,Pneumococcal conjugate vaccine 21 valent,Pneumococcal,IM,1 dose,Age 65+ or high-risk adults 19-64,90644,Various,Active,"Capvaxive, newest option 2024"
133,Pneumococcal conjugate PCV13,Pneumococcal conjugate vaccine 13 valent,Pneumococcal,IM,1 dose,Previously recommended; now PCV20/21 preferred,90670,00005-1971-02,Active,"Prevnar 13, legacy - use PCV20/21 for new patients"
121,Zoster recombinant,Zoster vaccine recombinant,Herpes Zoster,IM,2 doses,Age 50+; 2-6 months apart,90750,58160-0823-11,Active,"Shingrix, 2 doses required, >90% effective"
21,Varicella,Varicella virus vaccine,Varicella,SQ,2 doses,Non-immune adults; 4-8 weeks apart,90716,00006-4827-00,Active,"Varivax, check titers before vaccinating adults"
3,MMR,Measles Mumps and Rubella virus vaccine,MMR,SQ,1-2 doses,Born after 1957 without immunity; healthcare workers 2 doses,90707,00006-4681-00,Active,"M-M-R II, check titers in adults"
94,MMRV,Measles Mumps Rubella and Varicella virus vaccine,MMR,SQ,2 doses,Age 12 months-12 years only,90710,00006-4999-00,Active,"ProQuad, pediatric only"
115,Tdap,Tetanus Diphtheria and Pertussis vaccine,Tetanus,IM,1 dose then Td,Once as adult; then Td every 10 years,90715,49281-0400-10,Active,"Boostrix or Adacel, give once then Td boosters"
