DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,UNSTRIPPEDDIAGNOSISCODE,PARENTDIAGNOSISCODE
F01518,"Vascular dementia, unsp severity, with other beh disturb",F01.518,F0151
F0152,"Vascular dementia, unsp severity, with psychotic disturb",F01.52,F015
D472,Monoclonal gammopathy,D47.2,D47
J399,"Disease of upper respiratory tract, unspecified",J39.9,J39
G44209,"Tension-type headache, unspecified, not intractable",G44.209,G4420
I2692,Saddle embolus of pulmonary artery w/o acute cor pulmonale,I26.92,I269
F02C0,"Dem in other dis classd elswhr, sev, w/o beh/psych/mood/anx",F02.C0,F02C
F02C0,"Dem in other dis classd elswhr, sev, w/o beh/psych/mood/anx",F02.C0,F02C
G308,Other Alzheimer's disease,G30.8,G30
G308,Other Alzheimer's disease,G30.8,G30
G40309,"Gen idiopathic epilepsy, not intractable, w/o stat epi",G40.309,G4030
G20B2,"Parkinson's disease with dyskinesia, with fluctuations",G20.B2,G20B
J9611,Chronic respiratory failure with hypoxia,J96.11,J961
S22030D,"Wedge comprsn fx third thor vert, subs for fx w routn heal",S22.030D,S22030
L89892,"Pressure ulcer of other site, stage 2",L89.892,L8989
N186,End stage renal disease,N18.6,N18
H9122,"Sudden idiopathic hearing loss, left ear",H91.22,H912
G308,Other Alzheimer's disease,G30.8,G30
F02C0,"Dem in other dis classd elswhr, sev, w/o beh/psych/mood/anx",F02.C0,F02C
Z95828,Presence of other vascular implants and grafts,Z95.828,Z9582
F1320,"Sedative, hypnotic or anxiolytic dependence, uncomplicated",F13.20,F132
I209,"Angina pectoris, unspecified",I20.9,I20
Z87898,Personal history of other specified conditions,Z87.898,Z8789
Z8546,Personal history of malignant neoplasm of prostate,Z85.46,Z854
E6601,Morbid (severe) obesity due to excess calories,E66.01,E660
K589,"Irritable bowel syndrome, unspecified",K58.9,K58
L2989,Other pruritus,L29.89,L298
E162,"Hypoglycemia, unspecified",E16.2,E16
N939,"Abnormal uterine and vaginal bleeding, unspecified",N93.9,N93
H00019,"Hordeolum externum unspecified eye, unspecified eyelid",H00.019,H0001
K8020,Calculus of gallbladder w/o cholecystitis w/o obstruction,K80.20,K802
E1151,Type 2 diabetes w diabetic peripheral angiopath w/o gangrene,E11.51,E115
E669,"Obesity, unspecified",E66.9,E66
E1342,Oth diabetes mellitus with diabetic polyneuropathy,E13.42,E134
E1142,Type 2 diabetes mellitus with diabetic polyneuropathy,E11.42,E114
C50912,Malignant neoplasm of unspecified site of left female breast,C50.912,C5091
Z860100,"Personal history of colon polyps, unspecified",Z86.0100,Z86010
J42,Unspecified chronic bronchitis,J42,
F209,"Schizophrenia, unspecified",F20.9,F20
E1140,"Type 2 diabetes mellitus with diabetic neuropathy, unsp",E11.40,E114
R9720,Elevated prostate specific antigen [PSA],R97.20,R972
N912,"Amenorrhea, unspecified",N91.2,N91
K5090,"Crohn's disease, unspecified, without complications",K50.90,K509
J159,Unspecified bacterial pneumonia,J15.9,J15
E11319,Type 2 diabetes w unsp diabetic rtnop w/o macular edema,E11.319,E1131
J9811,Atelectasis,J98.11,J981
E663,Overweight,E66.3,E66
J09X2,Flu due to ident novel influenza A virus w oth resp manifest,J09.X2,J09X
Z556,Problems related to health literacy,Z55.6,Z55
J3802,"Paralysis of vocal cords and larynx, bilateral",J38.02,J380
J439,"Emphysema, unspecified",J43.9,J43
J441,Chronic obstructive pulmonary disease w (acute) exacerbation,J44.1,J44
F0280,"Dem in oth dis classd elswhr,unsp sev,w/o beh/psych/mood/anx",F02.80,F028
I4719,Other supraventricular tachycardia,I47.19,I471
J329,"Chronic sinusitis, unspecified",J32.9,J32
F03918,"Unsp dementia, unsp severity, with other behavioral disturb",F03.918,F0391
